,Response Metric,Performance Metric,Correlation
379,DLS_cor_reject_slope_up,total_hits,0.939652868421669
376,DLS_cor_reject_maximal_value,total_hits,0.9264174541103793
229,DLS_cor_reject_slope_up,hit_rate,0.9130796114770687
76,DLS_cor_reject_maximal_value,d_prime,0.9048523442566342
226,DLS_cor_reject_maximal_value,hit_rate,0.8882076825557823
79,DLS_cor_reject_slope_up,d_prime,0.8651081010736126
438,VS_miss_slope_down,total_hits,0.8488372775339689
2,DLS_cor_reject_peak_timing,c_score,0.845869573303773
288,VS_miss_slope_down,hit_rate,0.822467445189843
426,VS_cor_reject_maximal_value,total_hits,0.8017149015852519
12,DLS_miss_peak_timing,c_score,0.7927492699826753
436,VS_miss_maximal_value,total_hits,0.7912919247258517
276,VS_cor_reject_maximal_value,hit_rate,0.7786928125329822
351,VS_cor_reject_maximal_value,participation,0.7726623203255575
389,DLS_miss_slope_up,total_hits,0.7677705454345517
19,DLS_mistake_slope_up,c_score,0.7626677145374134
89,DLS_miss_slope_up,d_prime,0.7505716101793314
363,VS_miss_slope_down,participation,0.7433099319035078
286,VS_miss_maximal_value,hit_rate,0.7415788563616981
239,DLS_miss_slope_up,hit_rate,0.7392493688206846
4,DLS_cor_reject_slope_up,c_score,-0.7286196214013355
51,VS_cor_reject_maximal_value,c_score,-0.7195664910847608
86,DLS_miss_maximal_value,d_prime,0.7103889732915079
63,VS_miss_slope_down,c_score,-0.7084562385390679
304,DLS_cor_reject_slope_up,participation,0.7031530102508586
386,DLS_miss_maximal_value,total_hits,0.6987111949015393
302,DLS_cor_reject_peak_timing,participation,-0.6920635236734146
227,DLS_cor_reject_peak_timing,hit_rate,-0.6912232322442297
377,DLS_cor_reject_peak_timing,total_hits,-0.687857094226123
435,VS_miss_auc,total_hits,0.6787422396199786
44,DMS_mistake_slope_up,c_score,0.6772756620613267
1,DLS_cor_reject_maximal_value,c_score,-0.6750860750928344
269,DMS_mistake_slope_up,hit_rate,-0.6718313473263504
236,DLS_miss_maximal_value,hit_rate,0.6695317906920508
23,DLS_reward_collect_slope_down,c_score,0.6636495261025007
428,VS_cor_reject_slope_down,total_hits,0.6625798164313516
361,VS_miss_maximal_value,participation,0.6623715250505456
319,DLS_mistake_slope_up,participation,-0.6587956481463798
420,DMS_reward_collect_auc,total_hits,0.6585376337025917
88,DLS_miss_slope_down,d_prime,0.6577108336731825
439,VS_miss_slope_up,total_hits,0.6459718978743041
301,DLS_cor_reject_maximal_value,participation,0.642179937702616
279,VS_cor_reject_slope_up,hit_rate,0.6410138227885903
345,DMS_reward_collect_auc,participation,0.6329250744140928
429,VS_cor_reject_slope_up,total_hits,0.6274644150925011
387,DLS_miss_peak_timing,total_hits,-0.6240257348641327
312,DLS_miss_peak_timing,participation,-0.623752950143801
249,DLS_reward_collect_slope_up,hit_rate,0.6231774216080082
14,DLS_miss_slope_up,c_score,-0.6221005719013671
237,DLS_miss_peak_timing,hit_rate,-0.6219399264367333
289,VS_miss_slope_up,hit_rate,0.619307172555823
270,DMS_reward_collect_auc,hit_rate,0.619243841839937
61,VS_miss_maximal_value,c_score,-0.6177979512712463
399,DLS_reward_collect_slope_up,total_hits,0.615968703970956
344,DMS_mistake_slope_up,participation,-0.6132881242757793
359,VS_hit_slope_up,participation,0.6099128962756141
216,VS_mistake_maximal_value,false_alarm_rate,0.6083000683391989
194,DMS_mistake_slope_up,false_alarm_rate,-0.6051586486101996
215,VS_mistake_auc,false_alarm_rate,0.5998568762566621
354,VS_cor_reject_slope_up,participation,0.5981993131496552
395,DLS_reward_collect_auc,total_hits,0.5899469033946194
45,DMS_reward_collect_auc,c_score,-0.5894281881808396
419,DMS_mistake_slope_up,total_hits,-0.5863635183195338
285,VS_miss_auc,hit_rate,0.5840658260750609
509,VS_hit_slope_up,total_mistakes,0.5820245260352757
353,VS_cor_reject_slope_down,participation,0.5810610611450535
404,DMS_cor_reject_slope_up,total_hits,0.5808644868421005
245,DLS_reward_collect_auc,hit_rate,0.579159076132773
356,VS_hit_maximal_value,participation,0.5771588089538716
169,DLS_mistake_slope_up,false_alarm_rate,-0.5716678699209756
3,DLS_cor_reject_slope_down,c_score,0.570120844844306
516,VS_mistake_maximal_value,total_mistakes,0.5675171925022047
469,DLS_mistake_slope_up,total_mistakes,-0.5648712905666182
43,DMS_mistake_slope_down,c_score,0.5634847526770139
314,DLS_miss_slope_up,participation,0.5598758838517229
374,VS_reward_collect_slope_up,participation,0.559168295284137
278,VS_cor_reject_slope_down,hit_rate,0.5577494811380702
30,DMS_hit_auc,c_score,-0.5573487811811337
320,DLS_reward_collect_auc,participation,0.5561089666823533
138,VS_miss_slope_down,d_prime,0.5523637692962332
54,VS_cor_reject_slope_up,c_score,-0.5515975871839879
16,DLS_mistake_maximal_value,c_score,0.5510367778299732
47,DMS_reward_collect_peak_timing,c_score,0.5508353321868182
494,DMS_mistake_slope_up,total_mistakes,-0.55060993164343
501,VS_cor_reject_maximal_value,total_mistakes,0.5504460045595915
136,VS_miss_maximal_value,d_prime,0.5492997322288268
401,DMS_cor_reject_maximal_value,total_hits,0.5490989114303465
244,DLS_mistake_slope_up,hit_rate,-0.5476114314853426
209,VS_hit_slope_up,false_alarm_rate,0.5464336052323494
358,VS_hit_slope_down,participation,0.5454156343755108
329,DMS_cor_reject_slope_up,participation,0.5433976224754113
388,DLS_miss_slope_down,total_hits,0.5431192451488467
506,VS_hit_maximal_value,total_mistakes,0.5426958257230556
37,DMS_miss_peak_timing,c_score,0.5407771978215068
330,DMS_hit_auc,participation,0.5396597557707645
251,DMS_cor_reject_maximal_value,hit_rate,0.5386338568509293
59,VS_hit_slope_up,c_score,-0.5385861476356757
524,VS_reward_collect_slope_up,total_mistakes,0.5368732489610718
99,DLS_reward_collect_slope_up,d_prime,0.5352971540074261
40,DMS_mistake_auc,c_score,0.5351545795097657
291,VS_mistake_maximal_value,hit_rate,0.5350293177080638
20,DLS_reward_collect_auc,c_score,-0.534592653847691
254,DMS_cor_reject_slope_up,hit_rate,0.5337561372197388
323,DLS_reward_collect_slope_down,participation,-0.5312150119382576
405,DMS_hit_auc,total_hits,0.5306555597323078
364,VS_miss_slope_up,participation,0.5292825699126941
201,VS_cor_reject_maximal_value,false_alarm_rate,0.5288611618166281
394,DLS_mistake_slope_up,total_hits,-0.5252820138359007
255,DMS_hit_auc,hit_rate,0.5252816999923674
370,VS_reward_collect_auc,participation,0.5224336439845266
56,VS_hit_maximal_value,c_score,-0.5222182036176967
366,VS_mistake_maximal_value,participation,0.5209171588600991
360,VS_miss_auc,participation,0.5204257395466664
519,VS_mistake_slope_up,total_mistakes,0.5201042136243638
515,VS_mistake_auc,total_mistakes,0.5167406516011132
343,DMS_mistake_slope_down,participation,-0.515498898580677
64,VS_miss_slope_up,c_score,-0.5152141363561187
326,DMS_cor_reject_maximal_value,participation,0.512706684277592
219,VS_mistake_slope_up,false_alarm_rate,0.5126612620174027
26,DMS_cor_reject_maximal_value,c_score,-0.5112337791074704
135,VS_miss_auc,d_prime,0.5110940496551929
53,VS_cor_reject_slope_down,c_score,-0.5089100769893085
193,DMS_mistake_slope_down,false_alarm_rate,-0.5078620319027831
206,VS_hit_maximal_value,false_alarm_rate,0.5060066021701746
85,DLS_miss_auc,d_prime,-0.5050704592559089
493,DMS_mistake_slope_down,total_mistakes,-0.5038992670370017
41,DMS_mistake_maximal_value,c_score,0.5034217933296521
335,DMS_miss_auc,participation,0.5032652379331942
238,DLS_miss_slope_down,hit_rate,0.4980266088693432
508,VS_hit_slope_down,total_mistakes,0.4977540877111296
495,DMS_reward_collect_auc,total_mistakes,0.4966537000751942
65,VS_mistake_auc,c_score,-0.4961156184380032
230,DLS_hit_auc,hit_rate,0.49437611871141646
224,VS_reward_collect_slope_up,false_alarm_rate,0.4931301435509787
74,VS_reward_collect_slope_up,c_score,-0.49238785872469093
380,DLS_hit_auc,total_hits,0.49226066057968526
410,DMS_miss_auc,total_hits,0.49161938736066507
434,VS_hit_slope_up,total_hits,0.49055175465671297
445,VS_reward_collect_auc,total_hits,0.48855766000892437
58,VS_hit_slope_down,c_score,-0.4869663698753626
355,VS_hit_auc,participation,0.4854533335128918
11,DLS_miss_maximal_value,c_score,-0.48532731540900426
311,DLS_miss_maximal_value,participation,0.4814816510319988
243,DLS_mistake_slope_down,hit_rate,0.4809703749863537
195,DMS_reward_collect_auc,false_alarm_rate,0.4793769233461935
66,VS_mistake_maximal_value,c_score,-0.47911624970318456
29,DMS_cor_reject_slope_up,c_score,-0.4791106284547889
120,DMS_reward_collect_auc,d_prime,0.4777367911295442
264,DMS_miss_slope_up,hit_rate,0.476772418834345
414,DMS_miss_slope_up,total_hits,0.4757085221300613
70,VS_reward_collect_auc,c_score,-0.47519481981843215
413,DMS_miss_slope_down,total_hits,0.4751830051458743
77,DLS_cor_reject_peak_timing,d_prime,-0.4742054061084194
411,DMS_miss_maximal_value,total_hits,0.4721945602541002
431,VS_hit_maximal_value,total_hits,0.47199397250463243
248,DLS_reward_collect_slope_down,hit_rate,-0.47048549919612964
139,VS_miss_slope_up,d_prime,0.4690951235558408
393,DLS_mistake_slope_down,total_hits,0.4674237098060589
180,DMS_hit_auc,false_alarm_rate,0.46677505287685206
292,VS_mistake_peak_timing,hit_rate,0.4661175341923005
263,DMS_miss_slope_down,hit_rate,0.4649966831102914
480,DMS_hit_auc,total_mistakes,0.46481591640967024
60,VS_miss_auc,c_score,-0.4612262131053794
433,VS_hit_slope_down,total_hits,0.4605939175924961
260,DMS_miss_auc,hit_rate,0.45822949438236266
5,DLS_hit_auc,c_score,-0.45764861543856633
418,DMS_mistake_slope_down,total_hits,-0.4548878912496645
15,DLS_mistake_auc,c_score,0.4547160131666852
208,VS_hit_slope_down,false_alarm_rate,0.45406414684727947
336,DMS_miss_maximal_value,participation,0.454011261140056
119,DMS_mistake_slope_up,d_prime,-0.4526588777625152
104,DMS_cor_reject_slope_up,d_prime,0.45248287265574993
338,DMS_miss_slope_down,participation,0.45211121742650817
101,DMS_cor_reject_maximal_value,d_prime,0.45156133050323227
261,DMS_miss_maximal_value,hit_rate,0.450495780945441
268,DMS_mistake_slope_down,hit_rate,-0.4501704176683676
513,VS_miss_slope_down,total_mistakes,0.4491069934353455
398,DLS_reward_collect_slope_down,total_hits,-0.4483891440618812
415,DMS_mistake_auc,total_hits,-0.4466126302055917
449,VS_reward_collect_slope_up,total_hits,0.44658092810369004
39,DMS_miss_slope_up,c_score,-0.4459005020648337
